id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,144,1,625,2022-12-18,4.58,3,168,100,2022-2475
543140,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,30,7,123,2022-08-29,0.97,3,356,10,2019-1344
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,100,2,279,2022-12-12,2.21,1,358,28,2019-1230
923248,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,37,1,296,2022-12-03,2.47,8,266,42,2019-1314
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,72,1,68,2022-11-27,0.60,8,255,8,2019-1314
1183297,Hannah's Haus**Prime location in German Village**,235498219,Jessica,,Near South,39.95223,-82.99557,Entire home/apt,259,2,58,2022-11-26,3.91,1,159,46,
1217678,Comfortable rooms in Clintonville 1,5707733,Russell And Douglas,,Clintonville,40.03828,-83.01838,Private room,85,1,216,2022-11-27,1.87,2,351,31,2019-2104
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,250,3,168,2022-11-28,1.48,1,350,14,2019-1888
1336145,Comfortable rooms in Clintonville 2,5707733,Russell And Douglas,,Clintonville,40.03689,-83.0183,Private room,85,1,165,2022-12-01,1.45,2,325,18,2019-2104
1520102,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,41,1,47,2022-09-29,0.43,8,290,2,2019-1314
1763836,Charming 1BR Clintonville Apt,7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,90,4,89,2022-11-28,0.80,3,148,6,2019-1275
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,14,36,2022-09-04,0.33,3,262,1,2019-1846
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,30,35,2022-11-13,0.32,3,354,1,2019-1847
2196955,Close to OSU and Riverside Hospital (30day min),11043646,Curt,,West Olentangy,40.02356,-83.03218,Private room,30,28,51,2022-12-21,0.62,3,52,1,
2227278,German Village Getaway,11366166,Tina,,Near South,39.94098,-82.98737,Entire home/apt,250,4,3,2017-10-29,0.04,1,353,0,2019-1536
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98702,-83.01136,Entire home/apt,160,60,38,2022-07-24,0.37,3,355,1,2019-1848
2349920,Eclectic Short North Escape w/FREE Parking,10776491,Catherine & Bryan,,Near North/University,39.98617,-83.00371,Entire home/apt,205,2,181,2022-10-30,1.68,4,119,28,2019-2361
3193181,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.0087,-82.97472,Entire home/apt,65,4,153,2022-11-28,1.47,5,162,6,2019-2084
3731977,Relaxation Near Easton - Gym & Theater Room!,18986310,Alissa,,Rocky Fork-Blacklick,40.09093,-82.88549,Private room,60,7,52,2022-11-29,0.57,1,271,7,2019-1826
